Gnd tr X,Gnd tr Y,Gaze X,Gaze Y,Timestamp,Res X,Res Y,Mmpix,User Dis,UID
335,1,342.1386,4.6784,1382648123,,,,,
335,1,306.7188,-6.0464,1382648155,,,,,
335,1,297.8318,-15.6571,1382648184,,,,,
335,1,197.2019,-13.4718,1382648229,,,,,
-1,1,186.5677,-14.6303,1382648248,,,,,
-1,1,181.6006,-15.6214,1382648274,,,,,
-1,1,172.8545,-9.1749,1382648319,,,,,
-1,1,174.8567,-34.5928,1382648364,,,,,
-1,1,175.242,-21.5917,1382648394,,,,,
-1,1,174.8574,-15.9749,1382648413,,,,,
-1,1,187.0305,28.4482,1382648455,,,,,
-1,1,140.0419,-2.6377,1382648499,,,,,
-1,1,124.4403,-6.4776,1382648530,,,,,
-1,1,61.3726,0.9169,1382648560,,,,,
-1,1,38.0141,0.1796,1382648575,,,,,
-1,1,-5.1382,7.799,1382648619,,,,,
-1,1,6.3851,33.4788,1382648664,,,,,
-1,1,7.2774,38.8985,1382648694,,,,,
-1,1,17.97,32.9601,1382648724,,,,,
-1,1,22.823,12.0582,1382648755,,,,,
-1,1,19.5283,15.9922,1382648784,,,,,
-1,1,3.1296,23.7704,1382648830,,,,,
-1,1,6.291,48.713,1382648859,,,,,
-1,1,6.7684,46.2191,1382648874,,,,,
-1,1,8.3066,53.6858,1382648919,,,,,
-1,1,23.7375,45.2833,1382648964,,,,,
-1,1,21.916,32.4897,1382648994,,,,,
-1,1,20.4058,31.835,1382649024,,,,,
-1,1,17.1252,31.5094,1382649055,,,,,
-1,1,15.5574,25.6182,1382649099,,,,,
-1,1,20.8592,14.23,1382649129,,,,,
-1,1,32.2021,1.4539,1382649159,,,,,
-1,1,34.0881,-0.0009,1382649174,,,,,
-1,1,31.6332,-7.1713,1382649219,,,,,
-1,1,33.2624,-12.4412,1382649264,,,,,
-1,1,7.1963,-11.5871,1382649295,,,,,
-1,1,3.6534,-9.585,1382649324,,,,,
-1,1,5.1907,0.4588,1382649355,,,,,
-1,1,20.2917,2.1428,1382649399,,,,,
-1,1,18.3755,-1.637,1382649430,,,,,
-1,1,14.2426,-10.6167,1382649448,,,,,
-1,1,10.1497,-12.1553,1382649473,,,,,
-1,1,7.431,7.7587,1382649519,,,,,
-1,1,9.5008,17.7958,1382649564,,,,,
-1,1,12.751,22.6216,1382649594,,,,,
-1,1,3.4103,22.503,1382649624,,,,,
-1,1,-0.8919,21.3081,1382649655,,,,,
-1,1,-5.3096,1.1633,1382649699,,,,,
-1,1,3.9137,-0.7617,1382649730,,,,,
-1,1,5.0903,-6.3397,1382649759,,,,,
-1,1,5.0647,-6.5081,1382649774,,,,,
-1,1,3.0745,1.9675,1382649819,,,,,
-1,1,-13.2636,28.5358,1382649864,,,,,
-1,1,-18.1278,29.0991,1382649894,,,,,
-1,1,6.3883,11.0076,1382649924,,,,,
-1,1,27.1002,1.2337,1382649944,,,,,
-1,1,33.5674,0.3581,1382649999,,,,,
-1,1,32.6554,-0.8275,1382650029,,,,,
-1,1,16.994,11.8322,1382650058,,,,,
-1,1,15.2127,12.5462,1382650076,,,,,
-1,1,8.5378,18.0665,1382650134,,,,,
-1,1,3.3868,17.6791,1382650164,,,,,
-1,1,6.7914,19.6472,1382650193,,,,,
-1,1,7.7263,19.8246,1382650224,,,,,
-1,1,9.5203,16.615,1382650255,,,,,
-1,1,11.1211,6.75,1382650301,,,,,
-1,1,12.067,0.1406,1382650328,,,,,
-1,1,15.2173,-2.0861,1382650359,,,,,
-1,1,37.7708,0.5252,1382650373,,,,,
-1,1,42.8064,0.9519,1382650420,,,,,
-1,1,15.3037,11.3952,1382650464,,,,,
-1,1,-0.7285,18.4158,1382650494,,,,,
-1,1,-4.0753,23.1918,1382650524,,,,,
-1,1,-0.1099,10.7621,1382650555,,,,,
-1,1,5.2768,30.8932,1382650600,,,,,
-1,1,4.6093,33.6699,1382650630,,,,,
-1,1,0.6253,25.3919,1382650659,,,,,
-1,1,6.9762,23.9896,1382650673,,,,,
-1,1,-4.6535,10.3716,1382650734,,,,,
-1,1,-9.347,11.1208,1382650753,,,,,
-1,1,2.577,7.6936,1382650795,,,,,
-1,1,5.9743,7.5139,1382650823,,,,,
-1,1,30.6835,-6.6594,1382650868,,,,,
-1,1,18.5907,-2.9731,1382650899,,,,,
-1,1,14.7535,0.8737,1382650929,,,,,
-1,1,3.3044,3.3988,1382650958,,,,,
-1,1,-1.4335,2.9033,1382650974,,,,,
-1,1,1.6124,-3.3521,1382651023,,,,,
-1,1,4.7116,-3.3551,1382651064,,,,,
-1,1,2.9867,-0.6897,1382651093,,,,,
-1,1,11.7113,-1.1498,1382651124,,,,,
-1,1,15.5753,-3.9966,1382651169,,,,,
-1,1,22.1682,8.4862,1382651199,,,,,
-1,1,31.032,11.9131,1382651228,,,,,
-337,1,29.9654,10.5877,1382651259,,,,,
-337,1,29.1216,10.6262,1382651274,,,,,
-337,1,-1.2744,2.8877,1382651334,,,,,
-337,1,-1.7049,10.64,1382651363,,,,,
-337,1,4.1414,13.732,1382651394,,,,,
-337,1,3.4952,13.5641,1382651424,,,,,
-337,1,-3.1645,9.953,1382651469,,,,,
-337,1,-7.2554,10.8226,1382651498,,,,,
-337,1,-7.2554,10.8226,1382651518,,,,,
-337,1,-165.9454,31.3941,1382651548,,,,,
-337,1,-165.9454,31.3941,1382651563,,,,,
-337,1,-304.0525,19.9097,1382651633,,,,,
-337,1,-321.2059,40.4859,1382651664,,,,,
-337,1,-354.9194,35.7428,1382651694,,,,,
-337,1,-332.7133,-0.4501,1382651725,,,,,
-337,1,-338.5953,11.9623,1382651769,,,,,
-337,1,-332.4546,12.6429,1382651788,,,,,
-337,1,-334.8947,20.9759,1382651829,,,,,
-337,1,-330.0722,26.0286,1382651858,,,,,
-337,1,-330.1856,26.3499,1382651874,,,,,
-337,1,-351.8095,24.9743,1382651934,,,,,
-337,1,-356.466,15.6772,1382651963,,,,,
-337,1,-352.5416,12.1899,1382651993,,,,,
-337,1,-352.5416,12.1899,1382652013,,,,,
-337,1,-352.5416,12.1899,1382652058,,,,,
-337,1,-352.5416,12.1899,1382652088,,,,,
-337,1,-352.5416,12.1899,1382652118,,,,,
-337,1,-352.5416,12.1899,1382652148,,,,,
-337,1,-300.7409,-77.0724,1382652173,,,,,
-337,1,-332.1498,52.6663,1382652235,,,,,
-337,1,-327.8355,59.623,1382652263,,,,,
