TIM REL,GTX,GTY,XRAW,YRAW,GT Xmm,GT Ymm,Xmm,Ymm,YAW GT,YAW DATA,PITCH GT,PITCH DATA,GAZE GT,GAZE ANG,DIFF GZ
1976.61906004,-1.0,1.0,25.8239,15.5128,-0.228,0.228,5.8878492,3.5369184,-0.0186620532386,-3.15386914461,0.0186620532386,-5.66017389199,11.8784556234,11.6764805461,0.201975077314
2009.95177007,-1.0,1.0,26.6977,15.3171,-0.228,0.228,6.0870756,3.4922988,-0.0186620532386,-3.13559009275,0.0186620532386,-5.65803243358,11.8784556234,11.6756540903,0.202801533124
2043.24398994,-1.0,1.0,27.5902,14.8701,-0.228,0.228,6.2905656,3.3903828,-0.0186620532386,-3.11768287585,0.0186620532386,-5.65904694402,11.8784556234,11.6728107648,0.205644858592
2076.49030995,-1.0,1.0,29.5546,10.888,-0.228,0.228,6.7384488,2.482464,-0.0186620532386,-3.07946496479,0.0186620532386,-5.72905744013,11.8784556234,11.6044403298,0.274015293565
2109.83784008,-1.0,1.0,29.3999,6.5751,-0.228,0.228,6.7031772,1.4991228,-0.0186620532386,-3.08338371392,0.0186620532386,-5.81304225137,11.8784556234,11.5241067045,0.354348918927
2143.24667001,-1.0,1.0,26.8436,7.2029,-0.228,0.228,6.1203408,1.6422612,-0.0186620532386,-3.13160090575,0.0186620532386,-5.80306261792,11.8784556234,11.5341291837,0.344326439657
2176.49356008,-1.0,1.0,27.5412,12.3943,-0.228,0.228,6.2793936,2.8259004,-0.0186620532386,-3.11684513663,0.0186620532386,-5.69994480348,11.8784556234,11.63466201,0.243793613339
2209.87188005,-1.0,1.0,26.6487,14.2626,-0.228,0.228,6.0759036,3.2518728,-0.0186620532386,-3.13024813231,0.0186620532386,-5.66340898143,11.8784556234,11.6707895952,0.207666028233
2243.11705995,-1.0,1.0,28.452,17.6633,-0.228,0.228,6.487056,4.0272324,-0.0186620532386,-3.09532504195,0.0186620532386,-5.59757038042,11.8784556234,11.7359005816,0.142555041794
2276.31491995,-1.0,1.0,28.0507,13.5103,-0.228,0.228,6.3955596,3.0803484,-0.0186620532386,-3.10261260164,0.0186620532386,-5.67117012642,11.8784556234,11.6613810921,0.217074531316
2309.74741006,-1.0,1.0,27.9074,10.2993,-0.228,0.228,6.3628872,2.3482404,-0.0186620532386,-3.10361781494,0.0186620532386,-5.72832993211,11.8784556234,11.6039413618,0.274514261633
2342.99316001,-1.0,1.0,26.7667,11.114,-0.228,0.228,6.1028076,2.533992,-0.0186620532386,-3.12332973069,0.0186620532386,-5.71233505893,11.8784556234,11.6163860591,0.26206956424
2376.36207008,-1.0,1.0,25.7336,11.2977,-0.228,0.228,5.8672608,2.5758756,-0.0186620532386,-3.14283666181,0.0186620532386,-5.71277830494,11.8784556234,11.6138589131,0.264596710265
2409.74268007,-1.0,1.0,26.3191,12.9556,-0.228,0.228,6.0007548,2.9538768,-0.0186620532386,-3.13341318413,0.0186620532386,-5.68612253144,11.8784556234,11.6409500198,0.237505603564
2442.99326992,-1.0,1.0,25.9018,14.292,-0.228,0.228,5.9056104,3.258576,-0.0186620532386,-3.14383575338,0.0186620532386,-5.66542668706,11.8784556234,11.6624876335,0.215967989853
2476.27637005,-1.0,1.0,26.0622,15.2631,-0.228,0.228,5.9421816,3.4799868,-0.0186620532386,-3.14404805716,0.0186620532386,-5.64826840183,11.8784556234,11.68036841,0.198087213419
2509.63645005,-1.0,1.0,28.9728,15.9378,-0.228,0.228,6.6057984,3.6338184,-0.0186620532386,-3.08772285549,0.0186620532386,-5.63347165746,11.8784556234,11.6981877464,0.180267876951
2542.99480987,-1.0,1.0,29.8707,16.9579,-0.228,0.228,6.8105196,3.8664012,-0.0186620532386,-3.07415662737,0.0186620532386,-5.61415371986,11.8784556234,11.7188158168,0.159639806552
2576.22174001,-1.0,1.0,29.9561,18.3183,-0.228,0.228,6.8299908,4.1765724,-0.0186620532386,-3.07310947624,0.0186620532386,-5.5879918235,11.8784556234,11.7423784883,0.136077135134
2609.47575998,-1.0,1.0,28.4223,20.481,-0.228,0.228,6.4802844,4.669668,-0.0186620532386,-3.09953334108,0.0186620532386,-5.54504164648,11.8784556234,11.7824590312,0.0959965921945
2642.91423988,-1.0,1.0,28.7164,18.11,-0.228,0.228,6.5473392,4.12908,-0.0186620532386,-3.08905864313,0.0186620532386,-5.58177296697,11.8784556234,11.7435650981,0.13489052528
2676.11864996,-1.0,1.0,26.9524,14.1875,-0.228,0.228,6.1451472,3.23475,-0.0186620532386,-3.12366643439,0.0186620532386,-5.65557234358,11.8784556234,11.6700144423,0.208441181089
2709.48842001,-1.0,1.0,24.988,14.9519,-0.228,0.228,5.697264,3.4090332,-0.0186620532386,-3.16545325312,0.0186620532386,-5.64362790297,11.8784556234,11.6823539303,0.196101693065
2742.68256998,-1.0,1.0,25.2391,16.7137,-0.228,0.228,5.7545148,3.8107236,-0.0186620532386,-3.1599795596,0.0186620532386,-5.6142894645,11.8784556234,11.7141552976,0.16430032575
2775.93944001,-1.0,1.0,25.199,16.3117,-0.228,0.228,5.745372,3.7190676,-0.0186620532386,-3.1613935405,0.0186620532386,-5.6199737354,11.8784556234,11.7086244732,0.169831150182
2809.33430004,-1.0,1.0,25.7777,16.8731,-0.228,0.228,5.8773156,3.8470668,-0.0186620532386,-3.14906564801,0.0186620532386,-5.60831423849,11.8784556234,11.7208477375,0.15760788588
2842.71004987,-1.0,1.0,25.9423,18.17,-0.228,0.228,5.9148444,4.14276,-0.0186620532386,-3.14628855857,0.0186620532386,-5.58031493941,11.8784556234,11.7465369369,0.131918686447
2875.94753003,-1.0,1.0,26.5243,17.8068,-0.228,0.228,6.0475404,4.0599504,-0.0186620532386,-3.13410283223,0.0186620532386,-5.58524531216,11.8784556234,11.7411944458,0.137261177548
2909.20126987,-1.0,1.0,26.9083,16.8785,-0.228,0.228,6.1350924,3.848298,-0.0186620532386,-3.12542574634,0.0186620532386,-5.59510440742,11.8784556234,11.7291986943,0.149256929102
2942.57245994,-1.0,1.0,24.4998,15.4371,-0.228,0.228,5.5859544,3.5196588,-0.0186620532386,-3.17077651756,0.0186620532386,-5.6209710985,11.8784556234,11.701390212,0.17706541137
2975.83246994,335.0,1.0,24.6727,15.3256,76.38,0.228,5.6253756,3.4942368,6.22715269066,-3.16257695363,0.0186620532386,-5.61882955086,13.3909371584,11.7006795436,1.6902576148
3009.22248006,335.0,1.0,25.1431,16.0766,76.38,0.228,5.7326268,3.6654648,6.22715269066,-3.15058006675,0.0186620532386,-5.60621263178,13.3909371584,11.7132895006,1.67764765777
3042.44770002,335.0,1.0,26.2729,16.6354,76.38,0.228,5.9902212,3.7928712,6.22715269066,-3.13055729384,0.0186620532386,-5.60403524518,13.3909371584,11.7180891482,1.67284801016
3075.82659006,335.0,1.0,24.227,16.6951,76.38,0.228,5.523756,3.8064828,6.22715269066,-3.16735960623,0.0186620532386,-5.60739963525,13.3909371584,11.7133427457,1.67759441266
3109.07889986,335.0,1.0,24.4641,15.6877,76.38,0.228,5.5778148,3.5767956,6.22715269066,-3.16832849566,0.0186620532386,-5.63595458531,13.3909371584,11.6877657975,1.70317136086
3142.43983006,335.0,1.0,24.0616,16.8917,76.38,0.228,5.4860448,3.8513076,6.22715269066,-3.18180823802,0.0186620532386,-5.62145908693,13.3909371584,11.7035835998,1.68735355861
3175.81472993,335.0,1.0,25.6235,18.5035,76.38,0.228,5.842158,4.218798,6.22715269066,-3.15362074514,0.0186620532386,-5.58811480202,13.3909371584,11.7357144364,1.65522272201
3208.99005985,335.0,1.0,27.4822,19.7384,76.38,0.228,6.2659416,4.5003552,6.22715269066,-3.11798714161,0.0186620532386,-5.55854832931,13.3909371584,11.7625027914,1.62843436705
3242.31649995,335.0,1.0,27.8389,19.7162,76.38,0.228,6.3472692,4.4952936,6.22715269066,-3.11008007064,0.0186620532386,-5.55735642321,13.3909371584,11.7606878322,1.63024932625
3274.33802009,335.0,1.0,26.4668,15.0896,76.38,0.228,6.0344304,3.4404288,6.22715269066,0.508131859555,0.0186620532386,7.33620285385,13.3909371584,167.579056416,154.188119258
3292.29832006,335.0,1.0,24.4591,-12.1318,76.38,0.228,5.5766748,-2.7660504,6.22715269066,0.469588145344,0.0186620532386,6.82151066176,13.3909371584,167.230946854,153.840009696
3325.60832,335.0,1.0,24.4591,-12.1318,76.38,0.228,5.5766748,-2.7660504,6.22715269066,0.469588145344,0.0186620532386,6.82151066176,13.3909371584,167.230946854,153.840009696
3358.91732001,335.0,1.0,24.4591,-12.1318,76.38,0.228,5.5766748,-2.7660504,6.22715269066,0.469588145344,0.0186620532386,6.82151066176,13.3909371584,167.230946854,153.840009696
3392.22632003,335.0,1.0,24.4591,-12.1318,76.38,0.228,5.5766748,-2.7660504,6.22715269066,0.469588145344,0.0186620532386,6.82151066176,13.3909371584,167.230946854,153.840009696
3442.19014001,335.0,1.0,396.0842,-234.4333,76.38,0.228,90.3071976,-53.4507924,6.22715269066,3.95957390747,0.0186620532386,-10.3639946302,13.3909371584,10.0838934202,3.30704373815
